LEI;ISIN
PH3S12DWZBHHQKVYZ297;US69371R2A38
KDTEY8BWE486IKZ3CC07;US6937181088
5493001NTNQJDH60PM02;KYG017191142
353800UT0TLROREPIC92;JP3119600009
549300O3MTRIZNIDJN38;US2616081038
OW6OFBNCKXC4US5C7523;NO0010096985
5493004632KI8NGDEX09;NO0010635428
549300TWZSP6O1IH2V34;US3848021040
2549006RMTDJWLLWF072;US62983PAA30
529900U2JJ7GK68NI589;US16941M1099
549300YIPGJ6UX2QPS51;CH0045159024
FRDRIPF3EKNDJ2CQJL29;CH0323735594
4SIHMF0MOSTTL8CD0X64;US151020AA21
LUZQVYP4VS22CLWDAR65;US604059AE52
HJZQGXYTVV2NWJZLPW74;US89232BAA61
5493006W3QUS5LMH6R84;JP3633400001
Z2VZBHUMB7PWWJ63I008;US892332AG27
724500OPA8GZSQUNSR96;CH1264414348
549300RYPA10CQM3QK38;JP3551500006
353800YAR3OVUITHTG64;JP3566800003
5299008AQE7MBAUTA169;SI0031113234
549300JSX0Z4CW0V5023;DE000A1EWWW0
353800SENYJ2DSM6PS44;JP3783600004
549300KV0ZEHT2KVU152;BE0002280494
765LHXWGK1KXCLTFYQ30;US026609AG28
549300SWJ4YK4LLNT176;US90478B2A61
529900A2OB24EZ5B3J19;US16941R1086
8755006LY8XNRFOGWN86;US292487AA37
2138009KENVUNWOLPK41;BMG507361001
4YV9Y5M8S0BRK1RP0397;FR00140043I4
213800CS5FNII1SF4S30;CH0002339817
549300WUCFRPL5MEEX24;US04249J2A80
549300EAEU8YV8MQXP30;CH0383104335
KY37LUS27QQX7BB93L28;CH0002136957
L33L76GHI1OSBKDQ2623;CH0461238997
Y87794H0US1R65VBXU25;US9311421039
52990063S23N13HU4E98;DE0001675007
2549004NT0K79K3I1G32;US693597AA41
254900SIC44UKBM2WI40;US693605AA58
969500A4MXJ3ESPHK698;CH0550413345
549300U41AUUVOAAOB37;CH0012032048
549300E9PC51EN656011;FR0000120578
HGBOLILQXWER4SAL2I23;US0530151036
5493006MHB84DD0ZWV18;US02079K1079
724500KRQECMCRGM1971;CH0185843015
J3WHBG0MTS7O8ZVMDC91;US3022W12A06
02VFQXG2D1LR5ZH3K186;US654894AG96
529900XDPQPWEQ9BGB80;US29136L2A60
2572IBTT8CCZW6AU4141;US7427181091
YMEGZFW4SBUSS5BQXF88;US1941621039
549300BYWGHSXX2TEO67;US55277P1049
549300VEBQPHRZBKUX38;SE0015811955
353800024KMNOPQRWZ02;JP3180400008
353800678EIJLOQSWZ83;JP3573000001
529900UBKMFM0ST6H474;JP3814000000
5493007HIVTX6SY6XD66;CH0012005267
549300M7WX7DCIC49939;US4410601003
5493005158BXZWGOX572;US49989B1070
HWUPKR0MPOU8FGXBT394;CH0271171685
254900748HGC4RBR4O84;US00946AAA25
254900IH4U9NHH9AQM97;US5537681026
254900OEXGGWCR24DG90;US82929Y1010
549300G0CFPGEF6X2043;US4781601046
INR2EJN1ERAN0W5ZP974;US5949181045
5493001S6ND3ULAKYF67;US53578AAA60
549300U5ODNGEYWKSW73;US1564311082
HZ8T88YVE2JVXJ0BTQ24;US030210AA68
549300MBXCR8ZQJIFP95;SE0007185418
NGIZXNT70J2LYT3FBI09;US9113652039
5323X5O7RN0NKFCDRY08;US9113631173
43R4VPJBXTU2O15HEF41;US1313471146
549300VENVGR7A6TZR37;US6293603063
549300CL3D5DGCTJX814;US45809N1072
0W9AIBT6U6ADJ2I8HK17;US88033G1186
959800FRHH4JYA7QBE36;ES0119256032
549300YDZHGNBU1W9T56;US02152FAA66
4469000001BVQD7MDS72;US40052WAA09
F2TJC7HPPHLHU1AQMP98;US78573NAA00
549300ZTI0VEFO6WV007;US59010Q1067
Q723WDRJBEJIJV4H0X33;US89079AAA43
549300SKHY2ALCLKV539;US29382R1077
549300MC6XO5P96H8E79;US004398AC73
549300ST1VO2Z4YCSO49;US92831R1106
5493003VGPEJMW28UG24;US15136X1028
5493006BE5UNWTVG4F46;US06985P1003
54930073OHWDQW4DJN26;US6517185046
04Y1L40RYNUCL020XS57;US9593191045
5493005TMUI9D3MY9I37;US22163NAB29
549300F7ZU4P1F8V8L60;US6247581084
M82JWDV5EEZLD06NXJ93;US37952TAA43
549300NH25I1OLPBG255;US7434941065
4A8HUCONTZ1U05RWWU66;US00828BAA35
529900HKM8OWSHLKJY75;US2544231069
549300G8FYZDYZMZED76;US40415RAA32
98450079DA0B78DD6764;US210795AU40
K1OQBWM7XEOO08LDNP29;US90932LAA52
549300B658W2BPDQMW42;US10524PAA84
L0IO023097HXBMIC5V59;US0457091025
5493000E2HBSA8M27B95;US5010521046
549300BLM92Q6S7VH965;MHY6S1221012
549300ZBRW65LGDUQI38;US7596861085
549300Y5XD0883W6DC96;US1700321144
549300XWPR0FMV5INI52;US6821291019
549300NQGIBH8J6S2270;US15200E1055
Q2CCMS6R0AS67HJMBN42;US2473612073
2138007VWEP4MM3J8B29;GB00BQVVS097
254900787YGRYS2A1Z35;US09689RAA77
UFC8NYMNFSYIHNSM2I38;US92552V1008
529900GCCWW9SRMPJR11;US367905AA49
549300Z5IAG39VRTY874;US5880561015
EQFF4O0CK09VES3JAH16;US7160162092
254900M8F4RQGA263684;US69369F1066
549300MZRH1GJYUMRM83;US5270691083
549300Y1O0HDEQ2ZYE95;US73179V1035
529900SDAQUQC8QE0D29;US86184W1062
7WKW9PUKS16STV71SD80;US918436AA47
3UNDPVYNIW6ZYZMGMQ71;US7132781094
549300E3BC7GU7TAZ621;US78573L1061
54930083GODGBHODQ153;US379390AA53
549300349K24AVAQ7B24;US00786PAA21
54930013HYANWRQLRU09;US74837NAA19
QWMKGWHWGQBZEU3HXC11;US27749TAA34
549300WM5IIFYHZYTT63;US62704PAA12
549300CTHBTS2MIXZL54;US7940931048
549300TUIF4WWN6NDN50;US92240M1080
549300V3NO4AVFJR4Z69;US053505AA15
549300DLRO5Q625BI570;US20588YAB92
529900VPRFDDIN7BE119;DE0001999001
549300U620NVQ4J1CT96;US46269C1027
549300ZD3IIN17PD7B47;US51509BAA26
5493003CMWWRZ27LTJ16;US31567P1049
5493003QU1KCTWKX5O74;US20445PAA30
549300QJINFBX83IZ837;US02151P1075
NFTQLLI412TBX4OU4735;US2567431059
549300DH01K8F1NQFP75;US581241AA48
6354007DPCY4ZN2MRR73;US86074Q1022
549300HHMR7FVMMSB136;US02744L1008
549300FGO4T6V5B1B280;USU9031PAA31
549300XYSSTNID5YD068;US426299AA13
5493006NIBG916UK2D67;US44929HAC25
549300L7F0C97AZ0EJ42;US83172M1099
549300T466HKRLVCD610;US043502AA19
549300KITCGPNNNXQP63;US3020511230
549300ZFWD4ZFCEJCQ87;US37960BAA35
54930062KS6IKMMST819;US00213LAA44
549300WEC82I8G7FTS55;US053747AA96
54930074OROS47XYUQ95;US00430XAA54
HNIV162R5N6FK763OP61;US57776MAA18
549300H65E3MZ1CX0P05;US390606AA92
549300Q4207DUJTVDM36;US6951601011
GQXN0NEGA6KZCCFHIW82;US02369AAA60
W0CZ7N0GH8UIGXDM1H41;US1717792006
5493004QULJVJP3CNZ62;US63688RAA59
549300RES3HGTKHTVC27;US4415201031
ALCFCU5F33XPZIBG1088;US5913241163
529900FA4V2YNIKZ0M71;US6742151169
549300OMUOGBYK0FFO76;US71376LAA89
5LTG829X630QFHTFBO82;US043339AJ92
YEMD6E68QLMSL3ZMES44;US23312W1045
STJVF3IZKPXHGSIMTQ42;US46612H1059
5299006QHHH9V0CWGW10;US5298981086
549300VULNLWHE8QWI76;US0078001056
549300INHWR4EW4EAU11;US3055601120
529900XN1DL84IVYQ361;US25065D1000
529900X9V4SB12JE5463;DE000A1TNRR7
549300IW41QEWQ6T0H29;USU2081AAA08
UB301MR6T5C8BT8Z7E70;US90131JAA97
54930067ZPEG8H2PPN39;BM1534431142
549300JYVZOCUJOHL272;US171870AM00
549300OHV7NZPOL8EY52;US8174921010
549300VSXHFQVR770L55;US91336L1070
213800COL7AD54YU9949;GB00BF8J3Z99
5493003UP57IOOYDIV65;US12618M1009
54930009K1RH13YJR054;US10801P1049
549300S5LMRAKDWWI425;US47759YAA73
5493000G2GU65EVWSF15;US3824101162
549300OI428NU7XTM839;US676220AC07
549300T3TJ6A0P5TXM13;US750492AC43
549300YVRHNQUNO0AG21;US68557K1097
549300L37VJWNG2OCH14;US699219AB78
5493007210175UIK7S88;US7479062041
549300W9W8MDR7Z5HJ72;US78477JAA60
5493002USJLW0C71XG50;US77929V1070
54930021ZVE2EXF2SS09;US41755V1109
5493006LQUO5SLMNYM18;US7006772062
549300MW5LPO0M2LNO04;US9046772003
529900A7YD9C0LLXM621;DE0001507002
V5IUQSDP5WPR92NJWH73;US15941R1005
416AP2JOUTCWEGSOZW41;US127914AA79
549300A5B8LWWXD85L17;US861642AA49
XAP7J9TZOQWCQJWQ7163;US92275P1093
ZKEBLFXAHYXROKE75285;US02051PAA66
549300C0BW0TQ4BDMJ22;US020520AA07
549300P77RSBKKFME089;US14985VAA98
549300N0KGF3DQ2YCT10;US7786691011
549300VJQPPSEJPBNA66;US2263781070
HZEZWPQVFG33GVKBZ928;US26883D1081
549300LL0L0VNH6CPU66;US50213A2042
549300ZYWLDTWUWWLP19;US4703552079
549300Z1J6S3Q8CY1F48;US37185X1063
529900U3RVWMAQTFNR08;US008635AA20
549300K2KYM8O9I1R885;US029229AA93
5493006TFRWYUQCKTQ17;US7167481164
549300EHZQQMG2AZCZ13;ES0182760019
549300JHGUF0VVA38719;US8412975000
549300RIG2CXWN6IV731;US1512902024
H9AD9QN07EKOX2GRN450;US319963AD61
549300W05QKLNGQIIA73;US29445G1141
5493008W8H2T511J5Y59;US69327R1014
549300Q7EOY2YIO3YK85;US92922P1066
549300OADNJ3F7WOEZ23;US0010311035
54930055OPID242NEX87;US8584951045
549300XKUO1JSLU7KX54;US8765111229
969500CCRD8GYWLG6R54;US0139042065
549300GH1JEV070RCM46;US00770YAA10
549300DTHPGL24ZB7X89;US449836AA31
52990083ZRR5UT591988;US65336K1034
5493006PK6I4I2OOT688;US65336YAA10
549300WUUUH6LHROHH87;US7499511092
549300GM65RR2EMGLI48;US47758P3073
RQUHOSX88YYD5Y15BJ56;US594073AA69
3157008PTGOXBWZDVF10;US7493691049
549300DGNOQLK4R02X39;US4507251068
X7S1ODMVTNW3VI2I8B02;USU9112YAF52
549300JG1MM66V38RC50;US46262E1055
FCRGTB6NR4HIFH3ZC932;US4645921044
TKLQFSH757GJCQN9KP38;US02944RAA32
529900NHYED469G7XK29;US723655AA45
MWKQ3I0U1GXP2YDSZW75;US019736AA58
549300PPP02OVTC3ZV19;US37946S1078
549300YQDE2JSGTL8V47;US9149061023
549300W6P81HOZZGPQ16;US465965AB70
549300IJDNNBSJW46E09;US0180891022
NSLL8ITTRR0J5HEMR848;US09061G1013
549300DI3Q5ACSYJRI17;US09069NAA63
2H1FRGMQKKSWC9PFJY28;US693522AA25
5493002GPK5LQJ7QPJ51;USU87578AA59
549300NWWY1C54HQDY63;US98416J1007
8YFRT44YTZ40IQKXOL79;US018772AA14
549300GC80VO7T85ZM78;US81663A1051
213800Q5O2WIDKF6SZ42;GRC3141137C6
213800T9Y5XCOVRZ4Y57;GRS434003000
549300ZO77UNR6NRBR11;US00165C1128
549300JWRNKNU6N5L017;US00165A1088
549300DDK3ZCQPZWVP70;US04523XAA54
9JBID15KK3RNPBKP6U32;US26985R1041
549300X05KS0JKR8CB50;US8161961094
5493000JOOFAOUY1JZ87;US90290MAA99
549300WGIYVE2Q06DI23;USP7356YAA12
DHOYJSXUE58I8VV3J648;US92926K1034
5493007NS31K7IS5W227;US59870L1061
5493007W7CFRS1V7XL88;US74157K1198
549300FU1CXIYFVL7O90;US86881L1061
BDPO7HREUXNPHVMSIT54;US43162RAA23
549300RY13CUZRBP7216;US0560391007
549300G8G1R16J8L5Q60;US31446M1080
2GZZ0W32DY0BUMJYRH14;US35687M1071
549300DNGHXL0OMHW304;US12429T1043
549300VU3EH2E73C1Q04;US755081AB24
5493006G5OTY2UBFD622;US460933AF19
549300D7GMIUR7OY0U82;US06647F1021
5JL7TMOH5TY3IUYSUP91;US5186132032
5493007DS8CM3ZGION43;US18681X1054
5493005AXW2L27ADO786;US88156LAA89
549300D1101HU6HURK84;US6565591434
549300FRNNT8MN4FE461;US403777AA39
549300IM8QZ2K8CD9246;US46122EAG08
549300FBKBNV4GSVVR46;US02932NAA63
549300X0PTWU2QSLSL14;US5168062058
VPQEY6SB0BUIVT13IV95;US30066A1051
549300FIBYZ3CU8PIM55;US89255MAA45
JGNXVGGGXR4O1L5I7S73;US29426L1089
549300DKH5WJ2J8QU878;US7400651078
54930006M0532SF5DF32;US2284111042
549300BN53IR80C35Z14;US00401YAA82
5493004E7Q60TX54WL62;US857691AA70
FP4Y9QGZ4D2KY6M7GL79;US9032931241
549300STP29LPEN7S547;US37247A1025
549300ZSLGV64ZL3HD75;US721467AC29
549300IDNU77S4TSZI49;US879752AA13
549300ONVS6PJZ5LRX23;US0919351066
549300M1HISD3KQ17797;USU45208AA06
549300V7MGDZ6K056B43;US0974881007
549300J3YE73ZZQH8A63;US554273AA04
5493004IUZY0KS3K0W93;MHY643541060
W1MKPVGS6I5155L7VV67;US80007P1093
549300XWE6NM0N1HFW16;US475795AA84
549300HJBK31BLD6KJ47;US857871AA56
ELPUFM0XZRZO4LFXW404;GRS260333000
5493007D2LFJ1GAUM049;US903405AA61
789000VYQF5IDGG49908;TRAEREGL91G3
549300JM0MJETDD30O20;US40434JAA88
549300UH00WWYLEOKE25;US75968L1052
IK6QT1RZW5V0MKUGKI18;US49460W2089
549300QSB0I5SHJS3O56;US50015QAA85
549300STIPMK5VSA7Y59;SE0007691613
549300KWWR4P1RYUVG65;US302294AD59
549300BVRDR8XTSXAD13;US05462G1040
549300HM3JRB5OXHOC77;US09178T4004
JFU6RQQJ8Z1CPOLBXQ18;US115736AA88
5493005CW985Y9D0NC11;US00404A1097
549300TJ71E81VILCC76;US6363262097
54930054EVI5HWPPW113;US86881WAA09
2138004TQBE43SK9FT76;US26855M1027
549300QN6WZPQK5U0K47;US19421W1009
549300NXY19K1OZN4915;US90338N2027
213800B4XZJ3ZDM7CL47;USG01283AC79
549300G7TKUUPGRV2D81;US047650AA44
549300DZRL05HH2XD936;US29084T1043
549300TO70LQC2GV7A35;US24802AAA51
5493001GAGGFR30BP390;US3936571013
5493008B0STMH3JFSW17;US134638AA39
IESTMFG7UGW7B60IKK28;US53227KAA97
969500XCGTMV08D76N87;FR0011083039
529900ZM98OISTG16932;DE0007314007
5493006OG8I91X0K7Q22;US2026081057
8JA4NT75BITP5LG6P072;US5916101000
529900JL0HDVGZMUJF32;US44963BAD01
5493000JSMHPHZURLM72;US535919AB02
5493001U0CUHEWXZ3J14;US53626YAA64
549300K3R8TC761U4I82;US72347QAA13
549300IF6EUDVXYQI061;US125182AA37
549300RPU141JK9GI185;US70336T1043
969500T2GE0TB1W6H988;FR0000037418
549300SIVOGE0SO1LW17;US13054D1090
549300I645G0USPS4266;US65440K1060
549300FZX5BFQP32II32;KYG9898N1088
VBVH3SRHMQGFPPQCZJ03;US316645AA82
969500SHDTSMKBXKKO85;US67437P1066
549300WPNZVJY4O70K08;US7436631060
8EU0XUFVJ48U37IIDH51;US1474481041
549300KPBTIINY0VBM50;US65557U1034
2549001ML992STTEP738;USY7126FAA13
5493003S4AVU6OSXB118;US707882AA43
JSTG3G5UWPLZKYGGHY40;US58984W1071
549300KQQ3W775I3BX27;US008294AA89
549300LGUCWQURMWLG09;US486168AE78
549300R3K12EPXCGDP22;KYG720051047
5493000KNGZL65YWY755;US04044X1072
549300CENF14MTI9H573;US30216YAA01
549300HYMKPTC1DTZS42;BMG4600H1198
529900TM5726KDN7UU35;US08170WAD83
549300PNBE2MRQY3EZ03;US74113L1026
SCAKOG18M6QWWML8YF46;US6094531059
213800ZD5I8XHNMCJA67;GB00B7N0K053
BV4WJ23XIGNG4UDYEK73;US5940871081
5493000EKBN0UY1F3F88;US50077B2079
JWU5FD104OSLSO6IZG78;US76116A1161
549300Q3IIYBYI4RHD64;US45674CAA18
549300CPPOE32YM1QQ27;US6824851074
213800WOJR3Q33H3EB73;US44986UAA79
213800U6JL78EYKR3548;GB00B1JMLW25
5493001K58EJICR6I331;US37363CAA45
I03QQGEA4SS774AURI46;US205677AA54
HLBMKU9SSVMIDPDMNR16;US74837R1041
G6D9JBJ3B5USYVP7TB32;US2692791138
OKFF0PIZDDMNH4UCYE51;US6655313079
549300WI524AL577IX21;US4436282010
724500KRJEMC79KAAU28;FR0013467479
529900YP52A6C5K57L34;US3152932097
549300ESFR3Z1YNR6O65;US460919AA12
549300U9Q7VSWLFM3J45;US23339WAA18
549300WP5YXYG3D6NQ34;US448629AA34
FSEHHHMQDB634Y5WPQ12;US9410791050
549300JLD7TQRZ92KO78;US0488161029
549300696OECXEGRWD69;US638902AJ54
WNDD3CRVXJGC8I7GX671;US6389013060
5493005PYM1JS6EZN307;US7021501033
549300WYU2SX3BXOIV30;US3872411109
9695002XQWX9TKCOZT86;FR0000053506
5493008M1YG2GODK3P05;US62913F3001
54930088Q5PLU37BHF34;US02636P1021
4N6SD705LP5XZKA2A097;FR0013505062
H91ZN05H5J1FW7UUOR51;US12621PAA66
6354006P6QPGGPVJW880;US00191AAD81
549300N577AN5BH4RS70;US8438771011
5299002CCNWVL0PVLP96;US38045R2067
549300O4WTC6DL4JIE57;US6952571056
549300M4F4V4WFPNI116;US81753FAA30
529900PTQ0Z1J44SHZ08;CH0005795668
5726QOBW64NQET3VRC47;US28140JAA88
54930027T3HRC3BC7V10;US24784L1052
549300O5ESG6FZR5C795;US389003AA28
5493008I5XFLJGVXP632;US84302RAA77
5493000F1R60SFVQY311;US162821AA03
5493005NV20IG4VEKZ40;US3742761030
5493002XKIUDJWJUU032;US65542W1071
549300LTU6LVPZSHMJ25;US84860W3007
549300M6D163XS0DO113;US33938DAA72
ID68VQS76NCQMZURWQ33;US7171241018
549300E2BEZMEPIYGU19;US44958QAA04
LF6PBYTYG3BDVEF4FI12;US75605E1001
549300A4FSM5CB5M5D32;US28257U1043
54930016Y1HPAVB9PZ54;US12541G1058
549300UMUT10TOBP5N08;US38239H1059
5493006S177ZK2ZNBU43;US23283R1005
549300VRLIQWWFVU9M66;NO0010643380
O05HJM8THRTZG4688Q91;US001546AB63
529900DT4E7ZNETMVC04;US0015471081
549300UK2ZYOI65LEZ32;US5247071062
549300WNUD6RTYN7CJ08;US761565AA85
549300G6KKUMMXM8NH73;US08579W1036
549300AP2Q7ERHX6RI89;US08576PAA93
5493004U9JIWY3HSUO63;US469815AA26
549300UPPBCBLLLBJG98;US01449J1051
5OR64DV4VUQ8NW3R8C06;US110394AA17
5493008VL2XDQI0V8Z21;US3924851161
549300ML1GEF4BKIM713;US00101NAA54
7245008C9KMJL9P2UI77;US44890CAA27
213800CEDKSNUTPAQZ41;GB00B1XH2C03
54930078ZJ3XP4MRYB68;US822538AA22
5NP1ZPWP344SDUMZHE13;US87263GAA13
549300K276KVW5JD1583;US89236Y1047
549300Y36L5LRW5RH373;US29249FAA49
549300E94QP27RQTWH92;US890311AA14
R2I72C950HOYXII45366;US0079031078
529900UUMEQCPSDKFD75;US69367Y1073
5493004DVZLD37DJ0H83;US1535271068
549300QG0Y4T5SJUVS13;US784595AA81
549300E3XRGX2JMPEC79;US45867XAB01
549300JAVWTAY1FT5Z45;US23833N1046
213800NL9JYJ21V86593;GG00B54NMG96
549300ZQ3XP75BCYM468;US78471RAA41
5299005M71FH9CCSFB69;US55305B1017
213800D7DXFXGA292757;US55302T1051
81560026FA1A26642782;IT0004604762
549300PR9RG3VC9OH575;US60878Y1082
549300YFKOM2XNCKQU76;US03957U1007
8156005E0EF91772E207;IT0005010423
549300MEBB1TGIXWOV28;US516545AA88
549300N0X4211SRFZV95;US00101D1090
8ZQH7RR6DBQZIX8PEQ84;ES0105200002
KBIQURE23BXCOWVJ9H03;US26816L1026
IIVIHPH28S64K95M2381;US097793AA13
TJLYWYD9NLMPBOWORG91;US7601131003
5493009Y6HOBZD1QD537;US4227041062
984500NF54914EB1B646;US15713J2033
5493003TRZY542551L24;US72348XAA54
549300K3NT1HSQFEM073;US62912XAA28
54930048K1C8M9G3EI51;US29482P1003
5493002GXSKOEFYK5278;US87910PAA84
549300JQGOL5HYQT4B97;US719085AA01
54930002O8SZ8SGHJG16;US2047801004
815600B11BCB2AFDE431;IT0004127533
549300W0SKP6L3H7DP63;US12008R1077
254900XQ2EY5O3SAYL47;US60937C1053
5493000VMN44LK8QID23;US52201AAA34
549300H88IJGPNNL3T61;SE0007491303
549300SYOFUU1F633Q76;US7294161077
RT1CXTWSQAHGJ413C496;US03834A1034
5493000D9NVNUTTASN97;US9476841062
5493008NQ1Q5T2GZOJ37;US97654NAA28
54930086CGDP252LVK51;US807863AA36
549300YWR8TN1OFD4P06;US716558AA96
5493001FBOWNHL375K28;US45173V1070
5493007S02F45LLHOD64;US09629F1084
529900JOSL94HJN4VZ28;DE000STAB1L8
549300LGFEO9CMIDRM22;US1484114087
2U3V7WI7HVCB625AQQ40;US04878Q2021
529900IBUMKMRUBMPE07;US3364111035
549300GTMO7GHVPIDW58;US89784N1046
549300GFIW2O6KTXP540;US04930A1043
5493004FUZN8R6Y3VB98;US50168QAA31
969500BZJ49IICIBZZ08;FR0004033520
549300KU4ACNZQGB7J14;US37476R1077
549300ACTHMHNRI4I407;US7616951056
549300EUZXBS9WZ2E813;US4587431010
549300PUEQ0HSP3IRZ09;US42365Q1031
549300MJL50HVCB7RP74;US365558AA35
743700KKB8Q035K38488;US59267U1079
529900SL2WSPV293B552;DE000A289YF8
549300R1HR1VWWHIAK47;US69354M1080
549300O6P66CXZUW5T91;US29247HAA23
549300GTMW4DNIWH3044;US0966402069
54930070J9H97ZO93T57;US4771431016
54930052WXTW44489K43;US7096681074
5493006Y4QUQNL1ZUR64;US0431271099
549300BVHY25JZC1KI49;US44267DAA54
213800TKR59ER8Z69V16;GB00BFXW0630
529900W353T1JY1DKT44;US7677541044
549300VV176ZO5WQHZ61;US03168L1052
254900MJNKMQH063BA48;BMG0252S1145
549300SIFDMGE3Y2SW49;US1215791062
3LGBWM7SJ10PEV1KRW42;US6402042021
5493001M3HKIVRGCE314;US78572W1036
529900WOX8H1HMGYTL31;US2265332062
549300N263GYIVPVLC38;US22289RAA41
5493002SZ3VN4IY2H022;US0144771039
5299003Z37DVGKKC1W09;US1220171060
549300FR0YGIMRO7CK70;US725143AA99
549300U9K7TD84Q24R17;US245223AA00
549300J94Q38BL8BMH45;US90333LAA08
549300BOGG8KY4HH2109;US09626L1089
JM1I5YUAURL6DC8N1468;US7374461041
549300YV10314D7T5S48;US45885A4094
549300J2G34D0WX8Z443;US73939VAA26
W47HVZ7Q6FXL86RELH91;US039380AA89
549300C9E158C3V6PT51;US0207641061
IWUQB36BXD6OWD6X4T14;US001765AZ93
RKTSM2N7H7RD7N6GEN24;US457652AA35
254900GLZ0J5N8UZM071;MHY271831395
YX52P86PXMLYDOTUQ225;US17302PAA12
54930020KUQC33JLQV12;US422680AC25
549300CLJBQ9YSR4U689;US66981HAA41
549300YSOKQO5QD6MP25;KYG2119Z1090
549300OVZ2Q3HF4SEQ27;US04963Y2019
549300D94AA0WSMRET75;US270321AB81
5493007EIKM2ENQS7U66;DE000A12DM80
549300S3QI6FVE7S7B87;US526604AA10
549300GLBA6FLQZ70X71;US69888P1066
549300HHIRJ2GWDAN995;US94155UAA79
549300P8YC3BPSA09387;US83190B1017
E6MUUR0XQG8KL3PPCV05;US65442LAA08
549300R22LSX6OHWEN64;US25278X1090
549300ZU5OKEPC77VY60;US5020791068
549300GIDSWVWR5QUE71;US638459AA50
5493003PEN58Y6G65Z42;US5901751058
549300SB0HTIM17TVR61;US59073XAA37
549300EBYDWHTZVNTZ89;US05155CAA36
549300OXAL82HUJTBE76;US63000WAA53
549300X5O2WXLI8YDK13;US98417K1060
4B4HI3CGXMBDC0G6BM51;DE0001965556
549300NX0KB1IV9CRW38;US48019R3066
549300D27J7YTV3PWE40;US3135491153
5493003AVK173D48DR70;US1921081162
SGT8R1MU6ESIC7UJC518;US948626AA44
549300TEWK6ENMZQLF18;US0559211000
549300Q5W61T6GEK7A50;US876502AA38
549300ILYA1JU7R9IV02;US49926AAA34
D4460PKD5XG25GNWT422;US2915254005
213800167WOVOK5ZC776;GB00BN7CG237
5299002QMB2O7ZL1CA26;US1565041027
5493001K2LAUEUOFK975;USU04284AB82
54930081VSBJRBE45S95;USU04367AA34
549300BC2UB0GHV60V70;US3462321015
5493003N78WHF54YTK86;US74044WAA09
549300DQ6060LO4XGI15;US656844AA56
5493001CSAKHEBEW2927;TTP9390J1001
5493001NVXE2B9GPLU96;US14174T1079
5493003LHZE6QR4CED05;DE000SL0BP95
213800GJG9OEFB9ZME43;US81727HAA23
549300376D1X41OMDY26;US6264091066
529900K9HOACKOJJT953;US2082421072
549300CSHW546WORC082;US4525261065
549300MB7G4B0LNWBF44;US58605Q1094
549300H9LWMBP7HYLR98;US59408Q1067
HZPA4EQ289DXC7NQGK91;US81760N1090
549300SUPXO1WGG7V096;US26817C1018
549300T4O24KQDED1182;US00775DAA28
549300WL84OZOSWF0U42;BMG3597X1112
5493008QMCTQFMTCEY11;US66748YAA10
549300NO673FCMGRHX90;US89600LAA89
549300WNMFRZ945UFD66;US84130C1009
549300STALDQYSVEO325;US12637A1034
213800YDFJ3OT9B5P157;US5006881065
213800BCFLVXKIRCT546;US4656762030
549300M42WZ9F88ULC83;US93564A1007
549300FJXRJ0YL3MK785;US74039PAA21
549300EZCBNF4G707K90;US2686031079
549300NKH5QUQILWWM10;US00485RAB06
549300X2DHRGR0UBRQ20;US986141AA73
54930096DB9LCLPN7H13;US9837931008
8156006FED350033ED77;IT0005427932
5493002EE80G6ER7SM91;US879068AA20
549300P4EKEP6HK0NC58;US7212831090
549300VQWE7XT7NTD736;US46607RAA86
8156000B231F88893F16;IT0005324253
549300X4RCUNHIMQRV95;US03662X1000
549300LIZ1UTOOLOZV47;US30283W1128
549300FA4CTCW903Y781;US1276871019
549300L1SJG5VNSEYC65;US6287821044
549300HCK1560YVVY867;US00163U1060
549300IIP8FMEZXA0183;US7954351067
5493006Q4MDLHOY1JV70;US30034VAA61
549300FJX18IDUFPHD40;US4026354039
1KF1J2NXQE2PI0QOB943;US86722A1034
5493007QR70AVQSNF619;US82836G1022
5493005KY5ANOTGMLS28;US9608781061
8156008737CA044FCB79;IT0003617716
B1EEF6ML54YDWRC6ZK53;US41754WAA99
549300XZHTA2VXQWAL67;US81783QAA31
549300LCMBASS14VLC17;US86737NAA63
213800V3NCQTY7IED471;GB00BN4HT335
EDII6K36O3QDF1OX7157;US4569051083
5493009558UBOUBNXP97;US4392831024
549300CH22U9L3I13F89;US04318AAA43
254900PXCOUI2PZ6W177;KYG611571061
969500FCVQ5SLAAUJV59;FR0000120164
549300NKZ6VCN5P3K723;US78650QAA94
5493009OPX2JEODFJD19;US85422PAA30
549300TM2WLI2BJMDD86;US1858991011
529900YCVNER3XZKGH96;CH0002591078
2MNR4Q42DBL85U7RD221;US346091AL51
54930039PUG8OFP3JS83;US95931Q2057
549300WRNAX37STZ3X81;US584705AA58
815600E12249DD563C29;IT0004548506
549300CUFIHN3DAF4773;US40416QAA40
549300I7UVBGWRYMYZ18;US3359342041
549300PQXWQYUO44P605;US62953QAA76
549300P6GJJ3KGIE0O54;US2056381096
549300YDWMG6VTRDT963;US022553AA94
213800VDXQDA7KD2IQ21;GB00BYM8GJ06
5493004YNM7LB1ZMQ692;US89620H3030
549300WZSXRSISJ4VI31;US206519AA88
549300CI3Q2UUK5R4G79;US5764851060
